Munic�pio de resid�ncia,Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
315900 SANTANA DO RIACHO,-,1,2,9,8,5,55,59,9,5,5,2,160
315910 SANTANA DOS MONTES,-,-,-,1,-,1,6,2,1,1,-,1,13
315930 SANTA RITA DE JACUTINGA,-,-,-,-,1,2,3,2,1,-,1,-,10
315935 SANTA RITA DE MINAS,-,-,2,9,12,14,52,45,3,2,3,1,143
315940 SANTA RITA DE IBITIPOCA,-,-,-,-,1,-,-,-,-,-,-,-,1
315950 SANTA RITA DO ITUETO,-,-,-,-,-,-,4,2,-,-,1,-,7
315960 SANTA RITA DO SAPUCAI,-,-,-,-,-,-,6,4,1,-,-,-,11
315970 SANTA ROSA DA SERRA,-,-,-,-,-,-,4,5,-,1,-,-,10
315980 SANTA VITORIA,-,13,31,66,66,57,256,202,41,31,30,13,806
315990 SANTO ANTONIO DO AMPARO,-,8,14,39,53,76,317,201,62,45,41,14,870
316000 SANTO ANTONIO DO AVENTUREIRO,-,-,1,1,2,2,7,10,-,-,1,-,24
316010 SANTO ANTONIO DO GRAMA,-,1,2,2,10,14,55,32,10,4,7,5,142
316020 SANTO ANTONIO DO ITAMBE,-,-,2,1,-,5,15,10,4,1,-,-,38
316030 SANTO ANTONIO DO JACINTO,-,2,4,30,23,41,126,72,12,9,18,7,344
316040 SANTO ANTONIO DO MONTE,-,3,8,15,19,19,108,78,10,11,12,2,285
316045 SANTO ANTONIO DO RETIRO,-,-,-,-,-,3,1,-,-,-,-,-,4
316050 SANTO ANTONIO DO RIO ABAIXO,-,-,-,-,-,-,2,-,-,-,-,-,2
316060 SANTO HIPOLITO,-,-,3,6,11,7,17,15,2,3,3,1,68
316070 SANTOS DUMONT,-,2,-,2,2,2,14,14,3,3,2,-,44
316090 SAO BRAS DO SUACUI,-,1,2,3,4,1,12,7,1,1,1,2,35
316095 SAO DOMINGOS DAS DORES,-,-,-,-,1,2,13,14,2,2,1,1,36
316100 SAO DOMINGOS DO PRATA,-,-,-,4,2,3,22,13,1,-,1,-,46
316105 SAO FELIX DE MINAS,-,2,-,8,3,4,9,9,-,1,2,3,41
316110 SAO FRANCISCO,1,7,22,64,85,75,283,166,33,20,29,8,793
316120 SAO FRANCISCO DE PAULA,-,-,3,5,5,7,25,35,3,6,3,1,93
316130 SAO FRANCISCO DE SALES,-,-,1,1,5,2,11,7,3,4,-,-,34
316140 SAO FRANCISCO DO GLORIA,-,-,4,5,10,7,55,43,9,4,4,3,144
316150 SAO GERALDO,-,6,3,13,21,30,121,112,17,10,17,13,363
316160 SAO GERALDO DA PIEDADE,-,-,-,-,-,-,1,-,-,-,-,1,2
316165 SAO GERALDO DO BAIXIO,-,-,1,-,1,1,3,5,1,-,1,-,13
316170 SAO GONCALO DO ABAETE,-,2,5,19,13,19,50,56,14,5,5,2,190
316180 SAO GONCALO DO PARA,-,6,8,5,8,14,46,39,13,3,14,4,160
316190 SAO GONCALO DO RIO ABAIXO,-,12,51,91,124,135,593,403,57,35,70,40,1611
316200 SAO GONCALO DO SAPUCAI,-,-,1,1,-,1,5,3,-,-,-,1,12
316210 SAO GOTARDO,-,1,26,41,41,50,207,176,24,33,38,11,648
316220 SAO JOAO BATISTA DO GLORIA,-,1,3,20,27,23,101,95,16,19,19,5,329
316225 SAO JOAO DA LAGOA,-,-,2,3,8,12,35,24,1,7,-,2,94
316230 SAO JOAO DA MATA,-,-,-,-,-,-,1,-,-,-,-,-,1
316240 SAO JOAO DA PONTE,-,1,4,5,9,4,29,20,5,2,2,3,84
316245 SAO JOAO DAS MISSOES,-,1,3,-,3,1,9,4,-,-,1,-,22
316250 SAO JOAO DEL REI,1,27,13,32,66,84,424,276,40,40,39,13,1055
316255 SAO JOAO DO MANHUACU,1,6,2,8,9,15,70,45,8,1,2,1,168
316257 SAO JOAO DO MANTENINHA,-,6,10,18,33,28,131,109,19,11,16,6,387
316260 SAO JOAO DO ORIENTE,1,3,15,26,35,49,140,136,21,15,27,10,478
316265 SAO JOAO DO PACUI,-,-,2,2,-,8,18,6,2,1,-,1,40
316270 SAO JOAO DO PARAISO,-,-,-,-,-,1,-,-,-,-,-,-,1
316280 SAO JOAO EVANGELISTA,-,1,-,1,7,17,32,24,6,4,3,-,95
316290 SAO JOAO NEPOMUCENO,1,5,42,105,122,126,523,508,101,86,111,51,1781
316292 SAO JOAQUIM DE BICAS,-,9,31,41,43,55,244,158,22,23,26,11,663
316294 SAO JOSE DA BARRA,-,2,6,20,37,36,158,151,31,21,24,2,488
316295 SAO JOSE DA LAPA,-,1,5,19,16,38,181,88,14,8,10,3,383
316300 SAO JOSE DA SAFIRA,-,4,8,9,8,16,51,17,10,-,3,-,126
316310 SAO JOSE DA VARGINHA,-,-,2,5,2,2,11,5,1,-,-,-,28
316320 SAO JOSE DO ALEGRE,-,-,-,-,-,1,5,1,2,2,-,2,13
316330 SAO JOSE DO DIVINO,-,-,7,6,10,8,23,20,3,2,3,-,82
316340 SAO JOSE DO GOIABAL,-,2,3,9,14,23,71,51,11,5,13,7,209
316350 SAO JOSE DO JACURI,-,-,-,-,-,-,-,1,-,-,-,-,1
316360 SAO JOSE DO MANTIMENTO,-,1,-,3,4,3,15,9,1,-,2,2,40
316370 SAO LOURENCO,-,-,-,-,-,2,17,12,3,3,-,1,38
316380 SAO MIGUEL DO ANTA,-,-,-,1,1,3,5,4,1,1,1,-,17
316390 SAO PEDRO DA UNIAO,-,-,-,-,1,1,4,9,2,-,-,-,17
316400 SAO PEDRO DOS FERROS,1,-,6,7,12,16,30,20,2,4,1,1,100
316410 SAO PEDRO DO SUACUI,-,-,-,2,-,-,2,2,-,1,-,-,7
316420 SAO ROMAO,-,3,3,14,32,25,105,63,10,6,10,7,278
316430 SAO ROQUE DE MINAS,-,1,-,2,-,3,12,13,3,1,1,2,38
316440 SAO SEBASTIAO DA BELA VISTA,-,-,-,-,-,1,1,-,-,-,-,-,2
316443 SAO SEBASTIAO DA VARGEM ALEGRE,-,-,-,4,2,3,13,9,3,2,-,-,36
316447 SAO SEBASTIAO DO ANTA,-,-,-,-,-,-,-,-,-,1,-,-,1
316450 SAO SEBASTIAO DO MARANHAO,-,-,-,-,-,-,4,1,-,-,-,-,5
316460 SAO SEBASTIAO DO OESTE,-,-,3,14,15,26,97,63,14,7,10,1,250
316470 SAO SEBASTIAO DO PARAISO,-,52,104,260,364,415,1747,1468,291,224,300,124,5349
316480 SAO SEBASTIAO DO RIO PRETO,-,-,-,-,-,-,-,1,-,-,-,-,1
316490 SAO SEBASTIAO DO RIO VERDE,-,-,-,-,-,1,-,-,-,1,-,-,2
316500 SAO TIAGO,-,-,6,4,3,4,19,20,2,1,-,3,62
316510 SAO TOMAS DE AQUINO,-,-,-,1,2,2,16,6,1,3,1,4,36
316520 SAO THOME DAS LETRAS,-,-,1,-,-,-,5,4,-,-,-,-,10
316530 SAO VICENTE DE MINAS,-,-,-,-,-,1,1,3,1,-,-,-,6
316540 SAPUCAI-MIRIM,-,-,1,1,-,-,-,-,-,-,-,-,2
316550 SARDOA,-,-,-,3,2,1,16,8,-,1,-,2,33
316553 SARZEDO,-,5,10,29,37,57,227,150,16,11,7,2,551
316555 SETUBINHA,-,-,-,-,1,5,7,5,1,-,-,-,19
316556 SEM-PEIXE,-,2,2,4,9,19,41,40,6,6,8,1,138
316560 SENADOR CORTES,-,-,-,2,-,-,2,1,-,1,1,-,7
316570 SENADOR FIRMINO,-,-,-,-,3,1,6,6,1,-,1,1,19
316590 SENADOR MODESTINO GONCALVES,-,-,-,1,-,-,2,3,1,-,1,-,8
316600 SENHORA DE OLIVEIRA,-,-,-,2,-,-,6,-,-,1,-,-,9
316610 SENHORA DO PORTO,-,-,-,1,2,-,2,-,-,-,-,1,6
316620 SENHORA DOS REMEDIOS,-,-,-,-,-,-,1,-,-,-,-,-,1
316630 SERICITA,-,-,-,-,1,-,10,6,-,1,2,-,20
316650 SERRA AZUL DE MINAS,-,-,-,-,-,-,2,2,-,-,1,-,5
316660 SERRA DA SAUDADE,-,-,-,1,1,2,4,3,-,3,1,-,15
316670 SERRA DOS AIMORES,-,1,3,3,2,6,9,10,-,-,1,1,36
316680 SERRA DO SALITRE,-,1,7,22,30,35,188,103,6,10,9,3,414
316690 SERRANIA,-,1,-,-,1,1,8,5,-,1,1,-,18
316695 SERRANOPOLIS DE MINAS,-,-,-,-,-,-,1,2,-,-,-,-,3
316710 SERRO,-,2,5,11,10,15,61,36,2,3,2,-,147
316720 SETE LAGOAS,-,43,103,286,340,402,1569,937,146,109,129,65,4129
316730 SILVEIRANIA,-,1,1,5,8,19,53,47,14,8,11,8,175
316740 SILVIANOPOLIS,-,-,-,-,1,-,-,-,-,-,-,-,1
316750 SIMAO PEREIRA,-,1,7,16,19,28,89,98,21,14,10,10,313
316760 SIMONESIA,-,2,-,5,7,4,29,25,1,2,5,2,82
316770 SOBRALIA,-,1,2,13,14,18,29,28,6,3,4,-,118
316780 SOLEDADE DE MINAS,-,-,-,-,-,-,1,-,-,-,-,-,1
316790 TABULEIRO,-,2,1,6,4,4,25,21,1,-,5,-,69
316800 TAIOBEIRAS,-,-,-,3,7,2,10,6,2,-,-,-,30
316805 TAPARUBA,-,-,-,-,-,1,-,1,-,-,-,-,2
316810 TAPIRA,-,-,1,2,6,5,19,23,2,-,-,-,58
316830 TAQUARACU DE MINAS,-,-,-,-,2,1,2,3,1,1,1,-,11
316840 TARUMIRIM,-,1,1,3,8,10,27,31,5,4,12,2,104
316850 TEIXEIRAS,-,1,2,16,25,29,111,95,11,11,17,9,327
316860 TEOFILO OTONI,-,29,86,127,224,257,1181,747,105,89,132,61,3038
316870 TIMOTEO,-,18,103,201,329,494,1757,1408,253,181,257,109,5110
316880 TIRADENTES,-,2,2,9,7,11,45,42,5,1,1,-,125
316890 TIROS,-,2,11,22,24,37,153,172,48,32,49,28,578
316900 TOCANTINS,-,1,2,15,15,26,108,62,3,4,5,3,244
316905 TOCOS DO MOJI,-,1,-,-,-,-,-,-,-,-,-,-,1
316910 TOLEDO,-,-,-,2,-,1,4,2,-,-,-,-,9
316920 TOMBOS,-,-,3,11,16,19,67,67,11,17,19,5,235
316930 TRES CORACOES,-,3,11,19,33,51,214,215,35,29,42,17,669
316935 TRES MARIAS,-,1,2,13,27,46,253,193,17,17,21,9,599
316940 TRES PONTAS,-,1,5,22,24,38,178,113,20,10,15,6,432
316950 TUMIRITINGA,-,1,2,2,3,-,6,4,1,-,-,-,19
316960 TUPACIGUARA,-,1,1,6,7,10,33,41,5,3,9,2,118
316970 TURMALINA,-,-,2,2,2,2,28,13,5,3,1,-,58
316990 UBA,-,6,19,33,59,98,591,209,12,13,14,3,1057
317000 UBAI,-,1,1,5,20,21,67,60,1,4,6,2,188
317005 UBAPORANGA,-,-,4,6,12,13,27,32,10,2,3,3,112
317010 UBERABA,2,35,111,225,260,563,2078,1723,302,214,233,71,5817
317020 UBERLANDIA,-,144,468,1183,1695,2683,12284,7135,957,634,681,231,28095
317030 UMBURATIBA,-,-,-,-,-,1,2,7,-,1,1,-,12
317040 UNAI,1,54,146,208,215,227,791,709,117,85,108,43,2704
317043 UNIAO DE MINAS,-,2,2,5,6,6,24,20,9,3,7,3,87
317047 URUANA DE MINAS,1,-,1,2,4,4,16,19,2,6,1,1,57
317050 URUCANIA,-,-,4,11,16,42,116,67,2,6,1,1,266
317052 URUCUIA,-,3,3,16,16,21,73,45,4,4,6,4,195
317057 VARGEM ALEGRE,-,-,6,17,22,42,123,88,17,14,17,5,351
317060 VARGEM BONITA,-,-,-,-,2,-,2,4,1,2,-,-,11
317065 VARGEM GRANDE DO RIO PARDO,-,-,-,-,-,-,2,3,-,-,-,-,5
317070 VARGINHA,-,13,30,72,127,157,656,637,123,123,111,47,2096
317075 VARJAO DE MINAS,-,-,3,7,5,9,43,35,7,7,9,2,127
317080 VARZEA DA PALMA,-,12,36,81,125,148,612,495,83,70,52,25,1739
317090 VARZELANDIA,-,-,5,4,5,11,34,22,8,5,2,2,98
317100 VAZANTE,1,12,31,88,101,108,408,363,57,40,42,10,1261
317103 VERDELANDIA,-,-,-,2,-,-,13,6,-,-,-,-,21
317107 VEREDINHA,1,-,5,9,13,8,39,30,-,5,4,2,116
317110 VERISSIMO,-,1,4,1,1,1,8,13,2,2,4,1,38
317115 VERMELHO NOVO,-,1,3,4,15,14,49,46,3,2,8,2,147
317120 VESPASIANO,-,9,14,33,55,68,358,265,32,28,22,6,890
317130 VICOSA,-,1,11,15,21,43,281,163,28,17,20,5,605
317140 VIEIRAS,-,1,-,1,5,4,26,21,1,4,2,-,65
317150 MATHIAS LOBATO,-,-,1,-,-,-,-,-,-,-,-,-,1
317160 VIRGEM DA LAPA,-,9,6,23,26,42,98,42,14,8,4,5,277
317170 VIRGINIA,-,-,-,-,-,-,1,3,-,1,-,-,5
317180 VIRGINOPOLIS,-,-,2,-,-,-,8,5,1,-,-,-,16
317190 VIRGOLANDIA,-,2,3,5,8,8,17,28,6,2,9,1,89
317200 VISCONDE DO RIO BRANCO,-,15,36,122,128,153,562,389,50,16,31,5,1507
317210 VOLTA GRANDE,-,-,-,-,3,2,8,4,-,1,1,-,19
317220 WENCESLAU BRAZ,-,-,-,-,-,-,1,-,-,-,-,-,1
320010 AFONSO CLAUDIO,-,-,-,-,-,-,-,2,-,-,-,-,2
320016 AGUA DOCE DO NORTE,-,-,-,-,-,-,-,-,-,-,1,-,1
320020 ALEGRE,-,-,-,-,-,-,-,1,1,-,-,-,2
320040 ANCHIETA,-,-,-,-,-,-,2,1,-,-,-,-,3
320050 APIACA,-,1,2,1,-,-,1,2,1,-,-,-,8
320060 ARACRUZ,-,-,-,-,-,-,2,1,-,-,-,-,3
320080 BAIXO GUANDU,-,-,-,1,1,2,11,6,1,-,-,1,23
320090 BARRA DE SAO FRANCISCO,-,-,-,-,-,-,4,1,-,-,-,-,5
320110 BOM JESUS DO NORTE,-,-,-,-,-,1,4,4,-,1,-,-,10
320120 CACHOEIRO DE ITAPEMIRIM,-,-,-,-,-,1,3,1,-,-,-,-,5
320130 CARIACICA,-,-,-,-,-,-,8,5,1,-,-,-,14
320150 COLATINA,-,-,-,1,-,-,5,-,1,-,-,-,7
320200 DORES DO RIO PRETO,-,-,-,-,-,-,2,3,-,-,-,-,5
320210 ECOPORANGA,-,-,-,-,-,-,-,-,-,-,1,-,1
320230 GUACUI,-,-,-,-,1,-,1,-,-,-,-,-,2
320240 GUARAPARI,-,-,-,1,-,-,6,5,1,1,-,-,14
320245 IBATIBA,-,-,-,1,-,-,3,1,2,-,-,-,7
320265 IRUPI,-,-,1,1,-,-,-,1,-,1,-,-,4
320270 ITAGUACU,-,-,-,-,-,-,-,1,-,-,-,-,1
320280 ITAPEMIRIM,-,-,-,-,-,-,3,1,-,-,-,-,4
320300 IUNA,-,-,-,1,2,3,1,4,-,1,2,2,16
320305 JAGUARE,-,-,-,-,-,-,3,1,-,-,-,-,4
320316 LARANJA DA TERRA,-,-,-,-,-,-,-,-,1,-,-,-,1
320320 LINHARES,-,-,-,1,-,-,2,1,-,-,-,-,4
320330 MANTENOPOLIS,-,-,-,1,-,-,2,5,2,-,2,1,13
320332 MARATAIZES,-,-,-,-,-,-,2,-,-,-,-,-,2
320350 MONTANHA,-,-,-,-,-,-,1,-,-,-,-,-,1
320360 MUCURICI,-,-,-,-,-,-,-,1,-,-,-,-,1
320390 NOVA VENECIA,-,-,-,-,1,-,-,3,-,-,-,-,4
320420 PIUMA,-,-,-,-,-,-,-,-,-,1,-,-,1
320440 RIO NOVO DO SUL,-,-,-,-,-,-,-,-,-,-,1,-,1
320460 SANTA TERESA,-,-,-,-,-,-,1,-,-,-,-,-,1
320470 SAO GABRIEL DA PALHA,-,-,-,-,-,-,2,-,-,-,-,-,2
320480 SAO JOSE DO CALCADO,-,-,-,-,-,-,2,-,-,-,-,-,2
320490 SAO MATEUS,-,-,-,-,-,-,1,1,1,-,-,-,3
320495 SAO ROQUE DO CANAA,-,-,-,-,-,-,-,2,-,-,-,-,2
320500 SERRA,-,1,-,2,3,1,10,8,2,-,2,-,29
320520 VILA VELHA,-,1,2,-,1,1,9,12,-,1,-,-,27
320530 VITORIA,-,-,-,1,1,-,7,4,1,-,2,1,17
330010 ANGRA DOS REIS,10,61,29,119,163,203,790,489,51,34,34,10,1993
330015 APERIBE,-,-,1,1,-,-,5,-,-,-,-,-,7
330020 ARARUAMA,1,5,7,18,8,10,37,24,3,3,5,2,123
330022 AREAL,-,-,-,-,2,1,8,2,-,1,1,-,15
330023 ARMACAO DOS BUZIOS,-,3,7,12,20,22,70,47,6,6,6,2,201
330025 ARRAIAL DO CABO,-,2,3,5,12,8,26,12,2,1,-,-,71
330030 BARRA DO PIRAI,-,1,3,10,8,3,24,21,1,5,3,3,82
330040 BARRA MANSA,-,1,1,4,5,3,40,35,6,8,3,-,106
330045 BELFORD ROXO,1,13,22,95,93,62,122,42,8,9,11,3,481
330050 BOM JARDIM,-,-,-,1,-,1,6,4,1,-,-,-,13
330060 BOM JESUS DO ITABAPOANA,-,9,17,49,75,103,375,253,33,25,18,12,969
330070 CABO FRIO,-,7,34,38,47,25,77,49,10,5,7,-,299
330080 CACHOEIRAS DE MACACU,1,13,10,25,43,35,147,88,10,11,8,3,394
330090 CAMBUCI,-,-,1,4,8,8,24,18,1,3,5,1,73
330093 CARAPEBUS,-,10,3,7,7,13,48,25,6,1,3,-,123
330095 COMENDADOR LEVY GASPARIAN,-,2,3,7,2,3,23,12,3,1,3,3,62
330100 CAMPOS DOS GOYTACAZES,-,20,44,151,245,307,1292,993,168,107,88,27,3442
330110 CANTAGALO,-,2,-,8,3,1,13,7,-,-,-,-,34
330115 CARDOSO MOREIRA,-,-,-,2,1,3,10,7,2,1,1,-,27
330120 CARMO,-,-,1,2,1,3,7,10,1,1,-,-,26
330130 CASIMIRO DE ABREU,-,2,4,16,19,8,39,20,3,-,6,1,118
330140 CONCEICAO DE MACABU,-,-,6,2,4,2,11,5,-,-,-,-,30
330150 CORDEIRO,-,1,1,-,1,4,12,5,-,1,3,1,29
330160 DUAS BARRAS,-,-,-,-,1,-,2,-,2,-,-,-,5
330170 DUQUE DE CAXIAS,-,33,113,255,283,105,346,178,18,14,16,1,1362
330180 ENGENHEIRO PAULO DE FRONTIN,-,2,-,1,2,6,25,20,6,3,-,-,65
330185 GUAPIMIRIM,-,1,-,4,9,13,56,48,2,5,3,-,141
330187 IGUABA GRANDE,-,7,9,13,23,14,55,39,6,2,5,3,176
330190 ITABORAI,1,11,25,37,52,67,312,166,19,6,6,3,705
330200 ITAGUAI,-,1,8,33,41,32,118,85,6,7,6,1,338
330205 ITALVA,-,2,13,23,41,48,139,116,15,13,15,5,430
330210 ITAOCARA,-,-,-,-,2,-,3,6,-,-,1,-,12
330220 ITAPERUNA,1,32,85,121,160,174,717,560,103,52,63,29,2097
330225 ITATIAIA,-,6,17,47,57,72,283,200,39,30,33,13,797
330227 JAPERI,-,-,-,4,5,7,18,11,1,-,-,1,47
330230 LAJE DO MURIAE,-,-,2,1,1,3,7,7,2,-,-,1,24
330240 MACAE,-,7,30,70,49,33,128,87,14,9,10,-,437
330245 MACUCO,-,2,-,11,8,16,40,23,8,3,3,1,115
330250 MAGE,-,8,13,27,61,34,81,38,6,4,5,3,280
330260 MANGARATIBA,-,-,1,6,10,9,38,27,6,5,-,-,102
330270 MARICA,-,5,5,6,8,6,28,27,3,2,3,1,94
330280 MENDES,-,-,-,4,5,3,18,28,5,2,1,1,67
330285 MESQUITA,-,1,5,8,19,21,39,19,1,2,2,2,119
330290 MIGUEL PEREIRA,-,-,-,-,3,3,8,5,3,-,1,1,24
330300 MIRACEMA,-,2,-,4,4,4,4,7,-,1,2,1,29
330310 NATIVIDADE,-,17,22,38,64,68,300,232,39,41,45,18,884
330320 NILOPOLIS,-,1,5,6,14,13,21,12,1,2,-,3,78
330330 NITEROI,-,6,3,8,22,9,48,44,11,6,4,1,162
330340 NOVA FRIBURGO,-,-,2,5,4,23,60,50,4,5,4,2,159
330350 NOVA IGUACU,3,13,19,71,108,94,160,55,7,5,5,-,540
330360 PARACAMBI,-,1,2,4,12,8,52,25,1,4,2,1,112
330370 PARAIBA DO SUL,-,1,2,1,2,3,6,10,2,1,-,-,28
330380 PARATY,-,16,24,54,85,101,464,286,44,24,30,5,1133
330385 PATY DO ALFERES,-,1,5,2,3,13,47,27,4,1,1,-,104
330390 PETROPOLIS,-,2,3,4,9,14,54,35,4,7,4,-,136
330395 PINHEIRAL,-,-,-,5,2,5,11,7,3,1,-,1,35
330400 PIRAI,-,1,5,9,7,18,111,74,12,7,7,1,252
330410 PORCIUNCULA,1,2,2,19,12,19,108,110,24,20,18,5,340
330411 PORTO REAL,-,3,11,21,13,9,68,37,4,4,2,1,173
330412 QUATIS,-,4,8,13,10,6,49,26,5,2,4,-,127
330414 QUEIMADOS,1,1,2,10,10,19,66,35,2,2,1,2,151
330415 QUISSAMA,-,-,3,4,1,5,12,9,2,4,1,1,42
330420 RESENDE,-,6,29,104,139,156,747,585,77,62,96,27,2028
330430 RIO BONITO,-,1,1,2,5,2,28,12,2,2,-,-,55
330440 RIO CLARO,-,-,1,-,1,-,6,1,-,-,-,-,9
330450 RIO DAS FLORES,-,-,-,-,-,-,-,1,-,-,-,-,1
330452 RIO DAS OSTRAS,-,15,23,94,129,160,428,289,50,25,19,6,1238
330455 RIO DE JANEIRO,4,194,500,1855,3088,2815,8397,4064,526,369,305,93,22210
330460 SANTA MARIA MADALENA,-,-,1,-,-,-,-,1,-,-,-,-,2
330470 SANTO ANTONIO DE PADUA,-,1,7,11,10,17,43,44,2,3,2,1,141
330475 SAO FRANCISCO DE ITABAPOANA,-,2,4,6,5,8,35,21,1,5,4,3,94
330480 SAO FIDELIS,-,-,5,10,15,6,17,12,3,2,6,-,76
330490 SAO GONCALO,-,2,7,13,31,21,48,17,2,-,1,1,143
330500 SAO JOAO DA BARRA,-,1,7,8,18,18,50,38,6,6,6,5,163
330510 SAO JOAO DE MERITI,3,15,20,72,115,88,203,64,13,4,12,2,611
330513 SAO JOSE DE UBA,-,-,1,3,9,5,24,35,7,1,4,-,89
330515 SAO JOSE DO VALE DO RIO PRETO,-,-,-,-,-,-,1,-,-,-,-,-,1
330520 SAO PEDRO DA ALDEIA,-,38,72,79,104,48,132,101,10,14,21,7,626
330530 SAO SEBASTIAO DO ALTO,-,1,-,-,4,1,12,6,-,1,3,4,32
330540 SAPUCAIA,-,1,-,5,2,2,16,6,-,4,1,2,39
330550 SAQUAREMA,-,1,2,3,6,9,19,9,7,1,3,-,60
330555 SEROPEDICA,-,1,5,9,8,11,19,15,2,3,2,2,77
330560 SILVA JARDIM,-,-,-,-,1,-,3,2,-,-,-,-,6
330570 SUMIDOURO,-,-,2,2,5,7,21,24,7,4,4,-,76
330575 TANGUA,-,1,2,7,14,8,29,8,5,1,1,-,76
330580 TERESOPOLIS,-,-,2,1,5,1,6,8,4,1,1,-,29
330590 TRAJANO DE MORAES,-,-,-,-,2,-,1,1,-,-,-,-,4
330600 TRES RIOS,-,5,19,39,55,51,151,75,17,11,7,2,432
330610 VALENCA,-,-,1,-,-,1,4,3,-,1,-,-,10
330615 VARRE-SAI,-,2,8,15,28,25,111,97,14,15,12,4,331
330620 VASSOURAS,-,-,1,1,1,2,9,12,1,3,3,-,33
330630 VOLTA REDONDA,-,13,13,24,36,45,196,133,17,31,20,16,544
350010 ADAMANTINA,-,7,52,142,181,209,908,1058,242,204,268,87,3358
350020 ADOLFO,-,-,-,1,1,-,5,4,2,3,3,-,19
350030 AGUAI,-,-,-,1,-,1,3,3,-,1,2,1,12
350040 AGUAS DA PRATA,-,-,-,1,2,1,3,3,-,1,-,-,11
350050 AGUAS DE LINDOIA,-,-,-,-,-,-,1,2,-,1,1,-,5
350055 AGUAS DE SANTA BARBARA,-,-,1,1,2,-,2,1,-,1,-,-,8
350060 AGUAS DE SAO PEDRO,-,-,-,-,-,-,1,-,-,-,-,-,1
350070 AGUDOS,-,14,47,133,192,205,884,831,140,130,152,68,2796
350075 ALAMBARI,-,1,-,-,-,-,-,1,-,-,-,-,2
350080 ALFREDO MARCONDES,-,1,5,25,33,28,153,188,38,34,46,24,575
350090 ALTAIR,-,-,-,1,2,-,2,5,1,1,1,-,13
350100 ALTINOPOLIS,-,-,1,2,10,4,16,9,2,3,3,2,52
350110 ALTO ALEGRE,-,-,-,1,-,-,3,2,3,3,1,-,13
350115 ALUMINIO,-,-,1,1,1,-,6,4,-,2,-,-,15
350120 ALVARES FLORENCE,-,1,1,2,1,5,10,5,1,1,-,1,28
350130 ALVARES MACHADO,-,4,37,85,117,131,590,712,123,132,137,56,2124
350140 ALVARO DE CARVALHO,-,-,3,5,12,10,37,32,8,7,7,-,121
350150 ALVINLANDIA,-,1,2,5,7,15,40,36,1,9,5,2,123
350160 AMERICANA,-,4,23,36,49,61,251,176,34,23,18,3,678
350170 AMERICO BRASILIENSE,-,11,8,23,38,28,203,101,15,15,12,2,456
350180 AMERICO DE CAMPOS,-,-,-,-,-,2,2,1,-,-,-,1,6
350190 AMPARO,-,2,7,25,36,41,195,185,35,19,28,16,589
350200 ANALANDIA,-,-,-,-,1,1,6,-,-,-,2,-,10
350210 ANDRADINA,1,5,48,197,292,291,1114,810,143,81,102,44,3128
350220 ANGATUBA,-,-,1,1,1,1,5,5,1,-,-,-,15
350230 ANHEMBI,-,1,2,7,5,11,43,35,10,4,1,1,120
350240 ANHUMAS,-,1,2,7,18,17,50,65,22,8,9,5,204
350250 APARECIDA,-,1,1,17,20,17,104,93,13,13,16,3,298
350260 APARECIDA D'OESTE,-,1,1,-,2,1,12,8,1,2,2,-,30
350270 APIAI,-,-,-,-,-,-,-,1,-,-,-,-,1
350275 ARACARIGUAMA,-,1,2,3,10,7,57,33,4,6,1,1,125
350280 ARACATUBA,-,13,31,68,74,71,322,293,41,36,35,13,997
350290 ARACOIABA DA SERRA,-,3,2,4,5,4,23,13,-,5,3,-,62
350300 ARAMINA,-,-,1,-,1,-,2,1,2,-,1,-,8
350310 ARANDU,-,-,1,2,8,6,32,21,2,4,3,2,81
350320 ARARAQUARA,-,15,27,66,72,42,281,181,36,33,32,12,797
350330 ARARAS,-,-,1,-,6,2,25,22,4,4,-,-,64
350335 ARCO-IRIS,-,-,3,15,13,8,46,72,17,10,19,10,213
350340 AREALVA,-,3,5,17,24,26,111,108,22,23,28,15,382
350350 AREIAS,-,-,-,1,5,-,5,3,-,-,1,-,15
350360 AREIOPOLIS,-,-,1,-,4,2,19,7,1,1,-,-,35
350370 ARIRANHA,-,-,4,6,6,5,23,20,1,3,8,1,77
350380 ARTUR NOGUEIRA,-,1,2,6,5,7,43,23,7,1,3,-,98
350390 ARUJA,-,-,4,6,11,6,39,36,3,6,3,-,114
350395 ASPASIA,-,1,1,3,5,3,8,6,2,-,1,-,30
350400 ASSIS,-,19,101,234,263,279,1294,926,170,116,144,53,3599
350410 ATIBAIA,-,14,44,80,69,51,227,143,18,4,6,3,659
350420 AURIFLAMA,-,-,-,3,1,3,2,5,1,3,3,2,23
350430 AVAI,-,-,1,3,3,-,4,4,-,2,3,-,20
350440 AVANHANDAVA,-,1,1,4,7,2,14,16,4,-,2,-,51
350450 AVARE,-,2,3,10,23,18,121,108,22,15,11,5,338
350460 BADY BASSITT,-,1,4,17,19,20,84,66,9,8,10,4,242
350470 BALBINOS,-,1,2,8,15,13,36,51,9,11,11,5,162
350480 BALSAMO,-,1,1,2,3,-,5,3,1,1,-,-,17
350490 BANANAL,-,-,-,-,1,-,1,-,-,-,-,-,2
350500 BARAO DE ANTONINA,-,2,4,16,23,19,85,75,17,19,27,12,299
